Name,Topnote1,Topnote2,Topnote3
Heat,Vanilla,Magnolia,Neroli
Diamonds and Sapphires,Melon,Freesia,Galbunum
Vera Wang,Gardenia,Bergamot,
Omnia Crystalline,Mandarin,Lotus Flower,
Shalimar,Bergamot,,
Happy,Grapefruit,Bergamot,Mandarin
Vera Wang Princess,Apricot,Mandarin,Apple
Pleasures,Lily,Fresh Violet Leaves,Green Notes
Still Jennifer Lopez,Sake,Mandarin,Earl grey tea
Versace Bright Crystal,Pomegranate,Yuzu,Ice
White Diamonds,Lily,Neroli,Aldehydes
Lovely,Lavender,Bergamot,Mandarin
La Vie Est Belle,Black Currant,Pear,
Jessica McClintock,Cassia,Basil,Ylang-Ylang
Romance,Rose,Ginger,Chamomile
Fantasy,Lychee,Quince,Kiwi
Beautiful,Rose,Mandarin,Lily
Cashmere Mist,Bergamot,,
Glow,Orange Flower,Grapefruit,
L'eau de Issey,Lotus Flower,Freesia,Cyclamen
Be Delicious,Grapefruit,Cucumber,Magnolia
Flowerbomb,Bergamot,Tea,
Coco Mademoiselle,Orange Flower,Bergamot,Grapefruit
Jo Malone London Wood Sage & Sea Salt,Bergamot,ambrette seeds,Buchu leaves
Jo Malone London Nectarine Blossom & Honey Cologne,Green Notes,Black Currant,Petitgrain
Chance eu Tendre,Grapefruit,Quince,
Jo Malone London English Pear & Freesia,Pear,,
Tory Burch,Grapefruit,Pink pepper,Black Currant
Chloe,Peony,Lychee,Freesia
Jo Malone London 'Peony & Blush Suede',Apple,,
Tobacco Vanille,Tobacco leaf,Spices,
Black Orchid,Jasmine,Gardenia,Black currant
J'adore,Magnolia,Peach,Melon
Lanvin Éclat d’Arpège,Lemon leaves,Lilac,
Chanel No. 5,Ylang-Ylang,Neroli,Aldehydes
Chance,Jasmine,Iris,
Bottega Veneta,Pink pepper,Bergamot,Lily of the valley
"Philosophy ""Amazing Grace""",Bergamot,,
Beach,Jasmine,Mandarin,